date,price
2024-11-29 00:00:00,6.512709126014327
2024-11-30 00:00:00,6.512709126014327
2024-12-01 00:00:00,8.644603573199845
2024-12-02 00:00:00,9.459223086748034
2024-12-03 00:00:00,8.43020480298621
2024-12-04 00:00:00,11.16858001247626
2024-12-05 00:00:00,10.927396907589728
2024-12-06 00:00:00,12.59259618742528
2024-12-07 00:00:00,13.824764093589229
2024-12-08 00:00:00,14.148295136918554
2024-12-09 00:00:00,14.188638965497068
2024-12-10 00:00:00,13.390810695266785
2024-12-11 00:00:00,13.878510532121165
2024-12-12 00:00:00,16.160291494319157
2024-12-13 00:00:00,18.32086197907653
2024-12-14 00:00:00,19.445355374548534
2024-12-15 00:00:00,24.278950866911032
2024-12-16 00:00:00,24.06784264061239
2024-12-17 00:00:00,27.451297316399142
2024-12-18 00:00:00,25.590526995880662
2024-12-19 00:00:00,23.166825060814343
2024-12-20 00:00:00,25.041541157512242
2024-12-21 00:00:00,29.960485436304847
2024-12-22 00:00:00,32.40674492071673
2024-12-23 00:00:00,28.218793897378536
2024-12-24 00:00:00,28.312352202537458
2024-12-25 00:00:00,29.823925491530062
2024-12-26 00:00:00,26.788314746069965
2024-12-27 00:00:00,26.867640925078334
2024-12-28 00:00:00,27.086010481716727
2024-12-29 00:00:00,29.152346646591603
2024-12-30 00:00:00,27.60284480576535
2024-12-31 00:00:00,26.919616779779485
2025-01-01 00:00:00,24.12474358313879
2025-01-02 00:00:00,26.194213852135658
2025-01-03 00:00:00,23.146733100850973
2025-01-04 00:00:00,24.355707393428627
2025-01-05 00:00:00,24.863713285527787
2025-01-06 00:00:00,24.3822689493983
2025-01-07 00:00:00,25.351379930173476
2025-01-08 00:00:00,23.69707632091783
2025-01-09 00:00:00,22.651860775079726
2025-01-10 00:00:00,20.32366713779088
2025-01-11 00:00:00,20.86081863144586
2025-01-12 00:00:00,20.850967475949265
2025-01-13 00:00:00,21.16384214221906
2025-01-14 00:00:00,21.66663188617453
2025-01-15 00:00:00,23.00074996831128
2025-01-16 00:00:00,24.24830092223233
2025-01-17 00:00:00,23.571836734647334
2025-01-18 00:00:00,23.128838172193063
2025-01-19 00:00:00,21.700576230503504
2025-01-20 00:00:00,20.309248811204178
2025-01-21 00:00:00,20.452264083386375
2025-01-22 00:00:00,23.088173375878227
2025-01-23 00:00:00,24.32216600898521
2025-01-24 00:00:00,22.162003466310143
2025-01-25 00:00:00,22.807534212004068
2025-01-26 00:00:00,23.236342767568345
2025-01-27 00:00:00,22.148632733884593
2025-01-28 00:00:00,23.155694262646712
2025-01-29 00:00:00,22.071717599117154
2025-01-30 00:00:00,23.74410626301079
2025-01-31 00:00:00,27.68872825548394
2025-02-01 00:00:00,26.90772719520058
2025-02-02 00:00:00,23.65299411298062
2025-02-03 00:00:00,22.169205122636715
2025-02-04 00:00:00,25.12064644668724
2025-02-05 00:00:00,25.168849905387297
2025-02-06 00:00:00,24.67081850626999
2025-02-07 00:00:00,23.81687953438349
2025-02-08 00:00:00,22.81081829757962
2025-02-09 00:00:00,23.51742827761717
2025-02-10 00:00:00,23.02262302865193
2025-02-11 00:00:00,23.320350814238573
2025-02-12 00:00:00,23.52689837934851
2025-02-13 00:00:00,25.795592647726117
2025-02-14 00:00:00,26.193812748277757
2025-02-15 00:00:00,26.223694108063263
2025-02-16 00:00:00,25.625364645493548
2025-02-17 00:00:00,26.79398768644809
2025-02-18 00:00:00,25.376090578779202
2025-02-19 00:00:00,23.85645508708913
2025-02-20 00:00:00,24.057854172588787
2025-02-21 00:00:00,24.45202107189114
2025-02-22 00:00:00,24.930953890937285
2025-02-23 00:00:00,24.856359136711028
2025-02-24 00:00:00,23.208752138405707
2025-02-25 00:00:00,19.999034943285917
2025-02-26 00:00:00,20.32798229810367
2025-02-27 00:00:00,19.51149315130092
2025-02-28 00:00:00,20.87156176224923
2025-03-01 00:00:00,20.08606445738307
2025-03-02 00:00:00,19.58051085474099
2025-03-03 00:00:00,20.468138711858717
2025-03-04 00:00:00,17.81747200192514
2025-03-05 00:00:00,17.295991529096916
2025-03-06 00:00:00,17.206118282223166
2025-03-07 00:00:00,15.37829397319139
2025-03-08 00:00:00,15.055792459281998
2025-03-09 00:00:00,15.110432071801485
2025-03-10 00:00:00,14.419382276937826
2025-03-11 00:00:00,13.617100288686869
2025-03-12 00:00:00,13.742968094991149
2025-03-13 00:00:00,13.26425508021385
2025-03-14 00:00:00,12.34533444169747
2025-03-15 00:00:00,13.74981264239658
2025-03-16 00:00:00,14.34539983209498
2025-03-17 00:00:00,12.995272913734969
2025-03-18 00:00:00,13.253747189035662
2025-03-19 00:00:00,14.218260455946519
2025-03-19 21:42:29,15.123816776509306
