blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,oracle_events
17000000,1680911891,0xe38022e43924ebf014ed2c513b69e0675fbe5ad2bfacc843833858841fc1d0d4,2,0x96cfa0fb5e50b0a3f6cc76f3299cfbf48f17e8b41798d1394474e67ec8a97e9f,0x0d8e3b855c28a63295737a7f1a175d3cde44bcfa,0x514910771af9ca656af840dff83e8264ecf986ca,0xe447fccee5372199ded38dfc36b622aa91bef29d,7000000000000000000,ChainLink Token,LINK,18,50,62492,20842738913,52077,3913138,deprecated,5084376,[]
17000002,1680911915,0x8d8048840457148071e07c63414bf1b9e5ad799892c3827b34790356fbc4062d,11316584,0xc8457641f7be748c76e6a08a787b7eda4c5f7540ccc539e78b285988fdf5cbca,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x514910771af9ca656af840dff83e8264ecf986ca,0x276cb56502ce5cceeea81f99af7442bf80a4d936,58800000000000000000,ChainLink Token,LINK,18,6,150000,30000000000,52089,22656871,deprecated,5084374,[]
